Unnamed: 0,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone,Hotel
285,vardo,70.37,31.11,9.51,7.44,8.0,11.0,76,1.5,10,NO,7200,Vardø Hotel AS
417,veraval,20.9,70.37,29.01,29.35,29.01,29.01,76,8.11,29,IN,19800,Lords Inn Somnath
396,vila velha,-20.33,-40.29,19.42,14.48,18.89,20.0,60,7.7,26,BR,-10800,Hotel Vitória Palace
446,vizinga,61.07,50.1,18.35,17.41,18.35,18.35,65,2.08,100,RU,10800,"Gostinitsa ""Nadezhda"""
247,vostok,46.49,135.88,24.16,24.9,24.16,24.16,63,2.15,99,RU,36000,missing value
493,waitati,-45.75,170.57,9.97,7.82,9.44,10.56,69,1.34,100,NZ,43200,Arden Country House Dunedin
598,whitehorse,60.72,-135.05,9.19,5.04,7.78,10.0,71,4.1,40,CA,-25200,Westmark Hotel
33,wote,-1.78,37.63,23.14,21.16,23.14,23.14,46,3.24,11,KE,10800,Midways Hotel
113,wufeng,27.45,104.83,23.94,23.88,23.94,23.94,52,1.64,0,CN,28800,中山宾馆
529,xining,36.62,101.77,26.23,24.16,26.23,26.23,23,0.93,0,CN,28800,Super Leisure Hotel
538,xuddur,4.12,43.89,28.54,24.39,28.54,28.54,47,8.83,0,SO,10800,Banjanay Hotel
612,yerofey pavlovich,53.97,121.97,18.3,14.51,18.3,18.3,40,3.65,1,RU,32400,lounges and warm parking
580,yongan,39.7,113.69,25.15,24.72,25.15,25.15,47,1.96,80,CN,28800,Beiyue International Hotel
230,yulara,-25.24,130.99,33.0,25.8,33.0,33.0,9,6.7,0,AU,34200,Desert Gardens Hotel - Ayers Rock Resort
543,yumen,40.28,97.2,33.79,24.97,33.79,33.79,13,10.09,0,CN,28800,missing value
559,zaritap,39.64,45.51,22.0,19.58,22.0,22.0,35,2.1,0,AM,14400,հովիվի կացարան՝shepherd's shelter՝постушье укрытие
369,zhanakorgan,43.91,67.25,25.25,18.43,25.25,25.25,31,8.72,71,KZ,18000,"""Ақпалас"" қонақ үйі"
160,zhanaozen,43.3,52.8,26.89,23.82,26.89,26.89,22,2.34,0,KZ,18000,K.korabay 28A
379,zhangjiakou,40.81,114.88,28.99,28.19,28.99,28.99,43,3.52,0,CN,28800,Shell Zhangjiakou City Qiaodong District Ginza Hotel
