Unnamed: 0,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone,Hotel
226,taguatinga,-12.39,-46.57,27.43,26.28,27.43,27.43,32,1.43,0,BR,-10800,missing value
96,tamandare,-8.76,-35.1,23.8,23.67,23.8,23.8,75,4.86,0,BR,-10800,Pousada 100 Passos
582,tarrafal,15.28,-23.77,27.0,28.58,27.0,27.0,78,5.1,75,CV,-3600,Hotel Ixola
37,tautira,-17.73,-149.15,27.0,28.8,27.0,27.0,65,2.6,20,PF,-36000,Pension Oaoa
137,tazovskiy,67.47,78.7,8.37,3.99,8.37,8.37,80,4.68,0,RU,18000,TazHostel
618,tereze,43.94,42.44,27.0,24.18,27.0,27.0,28,3.0,55,RU,10800,missing value
410,tezu,27.92,96.17,24.92,28.15,24.92,24.92,75,0.78,100,IN,19800,Circuit House
158,the valley,18.22,-63.06,29.4,29.99,29.0,30.0,74,7.7,40,AI,-14400,CeBlue Villas & Beach Resort
499,tiarei,-17.53,-149.33,27.0,28.8,27.0,27.0,65,2.6,20,PF,-36000,Le Rocher de Tahiti
337,tiksi,71.69,128.87,17.12,14.72,17.12,17.12,65,3.68,20,RU,32400,Arktika
104,tilichiki,60.47,166.1,15.53,13.49,15.53,15.53,57,1.93,0,RU,43200,missing value
90,touros,-5.2,-35.46,25.0,26.96,25.0,25.0,78,3.1,20,BR,-10800,INN NEW HORIZON
473,tual,-5.67,132.75,26.3,24.5,26.3,26.3,79,9.56,47,ID,32400,Grand Vilia Hotel
103,tuktoyaktuk,69.45,-133.04,17.0,13.89,17.0,17.0,59,4.1,75,CA,-21600,End of The Road Ltd.
131,turkistan,43.0,68.0,26.1,22.4,26.1,26.1,23,3.22,1,KZ,21600,missing value
570,turukhansk,65.82,87.98,12.83,11.63,12.83,12.83,75,1.22,100,RU,25200,"ООО ""Туруханская пушнина"""
534,udachnyy,66.42,112.4,14.0,11.64,14.0,14.0,71,3.0,100,RU,32400,Gostinitsa Vilyuy
317,ugoofaaru,5.67,73.0,27.91,28.04,27.91,27.91,78,7.88,88,MV,18000,Ungoofaaru Inn
11,upernavik,72.79,-56.15,8.12,5.84,8.12,8.12,78,1.51,44,GL,-7200,Gina's Guesthouse - Upernavik
547,ust-kuyga,70.02,135.6,23.84,24.71,23.84,23.84,53,0.41,0,RU,36000,missing value
