,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone
176,lavrentiya,65.58,-171.0,8.29,5.54,8.29,8.29,88,2.74,76,RU,43200
177,rapid city,44.08,-103.23,23.27,20.3,21.67,25.0,49,5.1,1,US,-21600
178,lagos,6.58,3.75,23.0,26.99,23.0,23.0,94,1.0,20,NG,3600
179,bahia blanca,-38.72,-62.27,10.14,8.02,10.14,10.14,90,2.57,85,AR,-10800
181,constitucion,-35.33,-72.42,10.19,4.49,10.19,10.19,84,7.34,91,CL,-14400
182,north bend,43.41,-124.22,12.8,8.0,11.67,14.0,87,7.2,90,US,-25200
183,qaqortoq,60.72,-46.03,5.0,2.25,5.0,5.0,80,1.5,40,GL,-7200
184,esmeraldas,-19.76,-44.31,10.0,6.0,9.0,11.0,71,4.1,23,BR,-10800
185,portland,45.52,-122.68,17.23,16.67,15.56,18.89,75,2.02,0,US,-25200
186,codrington,-38.27,141.97,11.15,8.93,11.15,11.15,75,2.13,100,AU,36000
187,saint-philippe,-21.36,55.77,22.15,20.72,16.67,26.0,50,2.6,40,RE,14400
188,itainopolis,-7.45,-41.48,21.24,21.43,21.24,21.24,74,2.79,0,BR,-10800
189,sao filipe,14.9,-24.5,25.75,28.78,25.75,25.75,86,3.34,26,CV,-3600
191,neiafu,-18.65,-173.98,25.0,27.31,25.0,25.0,78,2.6,75,TO,46800
192,ilulissat,69.22,-51.1,3.0,0.62,3.0,3.0,93,1.0,0,GL,-7200
193,udachnyy,66.42,112.4,19.0,15.7,19.0,19.0,29,2.0,0,RU,32400
194,antofagasta,-23.65,-70.4,13.0,8.6,13.0,13.0,87,6.7,0,CL,-14400
195,tarakan,3.3,117.63,29.26,31.11,29.26,29.26,68,4.63,0,ID,28800
196,natchitoches,31.77,-93.13,26.0,30.46,26.0,26.0,94,2.76,90,US,-18000
197,cidreira,-30.18,-50.21,15.89,10.81,15.89,15.89,85,8.76,0,BR,-10800
198,port lincoln,-34.73,135.87,18.43,14.86,18.43,18.43,53,4.67,0,AU,34200
199,usolye,59.43,56.68,17.99,16.85,17.99,17.99,72,2.9,34,RU,18000
200,pacifica,37.61,-122.49,13.96,13.37,12.78,16.11,93,2.1,90,US,-25200
201,murupara,-38.47,176.7,8.84,7.39,6.67,12.22,86,0.95,7,NZ,43200
202,botucatu,-22.89,-48.45,8.59,5.67,8.59,8.59,92,3.29,0,BR,-10800
204,asau,46.43,26.4,18.46,20.61,18.0,18.89,93,0.5,23,RO,10800
205,hithadhoo,-0.6,73.08,26.32,27.61,26.32,26.32,84,5.97,100,MV,18000
206,saint george,37.1,-113.58,30.64,27.14,29.44,31.67,31,5.7,1,US,-21600
207,nikolskoye,59.7,30.79,15.31,13.21,15.0,16.0,82,4.0,40,RU,10800
208,beloha,-25.17,45.05,29.08,26.4,29.08,29.08,30,3.78,0,MG,10800
209,sarakhs,36.54,61.16,27.0,25.52,27.0,27.0,34,2.1,0,IR,16200
210,hilo,19.73,-155.09,23.14,23.5,19.44,27.0,65,2.43,75,US,-36000
211,san cristobal,7.77,-72.22,18.71,20.43,18.71,18.71,92,1.17,100,VE,-14400
212,comodoro rivadavia,-45.87,-67.5,2.0,-1.79,2.0,2.0,72,2.1,100,AR,-10800
213,abilene,32.45,-99.73,25.71,24.71,23.89,27.22,54,4.1,1,US,-18000
215,berlevag,70.86,29.09,9.26,7.33,8.0,10.0,81,1.5,75,NO,7200
216,balkhash,46.84,74.98,22.0,17.11,22.0,22.0,30,5.0,100,KZ,21600
217,kavieng,-2.57,150.8,29.01,31.96,29.01,29.01,74,4.01,98,PG,36000
218,moree,-29.47,149.85,19.0,14.22,19.0,19.0,24,3.6,0,AU,36000
219,kamskiye polyany,55.43,51.42,20.0,19.83,20.0,20.0,77,3.0,20,RU,10800
220,porto walter,-8.27,-72.74,19.9,21.12,19.9,19.9,75,0.74,0,BR,-18000
221,sibenik,43.73,15.91,23.56,24.95,23.33,24.0,60,0.5,0,HR,7200
222,tasiilaq,65.61,-37.64,3.0,0.15,3.0,3.0,74,1.0,0,GL,-7200
223,castro,-24.79,-50.01,6.61,4.18,6.61,6.61,96,2.16,23,BR,-10800
224,joshimath,30.57,79.57,24.65,23.94,24.65,24.65,54,3.17,66,IN,19800
225,killybegs,54.63,-8.45,13.33,12.6,13.33,13.33,96,2.24,16,IE,3600
226,katsuura,35.13,140.3,32.75,37.34,31.67,34.44,66,3.1,20,JP,32400
227,sorland,67.67,12.69,10.0,5.07,10.0,10.0,93,6.7,75,NO,7200
228,mbuguni,-3.57,36.95,19.0,18.71,19.0,19.0,88,3.8,75,TZ,10800
229,kambove,-10.88,26.6,24.0,21.69,24.0,24.0,35,2.49,9,CD,7200
230,yulara,-25.24,130.99,33.0,25.8,33.0,33.0,9,6.7,0,AU,34200
231,bairiki,1.33,172.98,29.0,32.05,29.0,29.0,70,3.1,75,KI,43200
232,palana,59.12,159.97,9.3,3.85,9.3,9.3,71,5.99,100,RU,43200
233,lancaster,40.25,-76.25,19.0,17.23,16.67,22.0,56,2.6,1,US,-14400
235,necochea,-38.55,-58.74,10.56,9.78,10.56,10.56,99,1.34,81,AR,-10800
236,bom jesus,-9.07,-44.36,21.11,21.8,21.11,21.11,68,1.3,31,BR,-10800
237,namibe,-15.2,12.15,19.85,20.03,19.85,19.85,76,2.31,82,AO,3600
238,apostolove,47.66,33.71,20.77,17.09,20.56,21.0,56,6.0,0,UA,10800
241,prado,-17.34,-39.22,17.38,15.13,17.38,17.38,80,4.97,0,BR,-10800
242,iquique,-20.22,-70.14,16.0,14.79,16.0,16.0,77,2.6,90,CL,-14400
243,la ronge,55.1,-105.28,7.0,5.07,7.0,7.0,100,1.76,5,CA,-21600
244,flinders,-34.58,150.86,14.44,11.18,14.44,14.44,60,3.58,0,AU,36000
245,srednekolymsk,67.45,153.68,10.04,4.79,10.04,10.04,58,5.15,95,RU,39600
246,gandorhun,7.5,-11.83,22.34,26.17,22.34,22.34,96,0.99,89,SL,0
247,vostok,46.49,135.88,24.16,24.9,24.16,24.16,63,2.15,99,RU,36000
248,morro bay,35.37,-120.85,16.31,17.98,15.56,17.22,98,0.45,51,US,-25200
249,valley city,46.92,-98.0,22.0,25.65,22.0,22.0,100,1.5,1,US,-18000
250,cienfuegos,22.15,-80.44,23.0,26.22,23.0,23.0,94,2.1,0,CU,-14400
251,sur,22.57,59.53,32.49,33.47,32.49,32.49,54,5.29,100,OM,14400
252,maromitsa,59.87,48.01,19.26,17.74,19.26,19.26,63,3.08,100,RU,10800
253,sosnovo-ozerskoye,52.52,111.54,17.45,15.34,17.45,17.45,65,3.39,54,RU,28800
254,saint-denis,48.92,2.33,16.37,12.79,15.0,17.0,72,5.7,75,FR,7200
255,scottsbluff,41.87,-103.67,24.8,23.55,23.33,26.0,41,2.1,1,US,-21600
256,gagarin,55.55,35.0,13.14,9.25,13.14,13.14,93,6.45,100,RU,10800
257,invercargill,-46.4,168.35,7.22,2.19,7.22,7.22,72,4.92,100,NZ,43200
258,sangar,63.92,127.47,16.22,12.74,16.22,16.22,34,2.2,0,RU,32400
259,vao,-22.67,167.48,19.83,15.34,19.83,19.83,67,7.99,100,NC,39600
260,vagur,61.47,-6.81,9.15,4.18,9.15,9.15,75,5.48,88,FO,3600
261,lompoc,34.64,-120.46,15.24,15.07,14.44,16.0,93,2.1,90,US,-25200
262,gushikawa,26.35,127.87,27.0,26.11,27.0,27.0,94,11.3,75,JP,32400
263,lasa,46.62,10.7,15.9,16.73,15.0,17.0,93,1.0,20,IT,7200
264,egra,50.08,12.37,19.12,16.55,18.89,19.44,59,4.1,20,CZ,7200
265,kupang,-10.17,123.58,32.0,25.6,32.0,32.0,33,10.8,20,ID,28800
266,komsomolskiy,40.43,71.72,26.0,21.27,26.0,26.0,39,7.2,100,UZ,18000
268,egvekinot,66.32,-179.17,8.49,5.46,8.49,8.49,81,2.84,98,RU,43200
270,college,64.86,-147.8,12.98,12.21,12.22,14.0,82,1.15,75,US,-28800
271,hervey bay,-25.3,152.85,21.76,16.6,21.67,22.0,33,5.7,0,AU,36000
272,talnakh,69.49,88.4,18.0,16.18,18.0,18.0,63,3.0,13,RU,25200
273,kieta,-6.22,155.63,28.28,31.95,28.28,28.28,77,2.95,0,PG,39600
274,tura,25.52,90.22,31.61,35.01,31.61,31.61,61,2.75,100,IN,19800
276,lorengau,-2.02,147.27,28.24,31.13,28.24,28.24,81,4.74,62,PG,36000
277,dutlwe,-23.98,23.9,21.84,15.34,21.84,21.84,21,6.15,0,BW,7200
278,bengkulu,-3.8,102.27,31.2,31.94,31.2,31.2,57,5.39,14,ID,25200
279,east foothills,37.38,-121.82,18.47,18.39,17.78,19.0,82,2.6,40,US,-25200
280,norman wells,65.28,-126.83,14.0,13.3,14.0,14.0,76,1.0,75,CA,-21600
281,korla,41.76,86.15,35.79,29.11,35.79,35.79,13,7.41,2,CN,28800
282,meulaboh,4.14,96.13,29.72,32.63,29.72,29.72,65,2.88,93,ID,25200
284,udarnyy,54.34,42.86,22.96,20.38,22.96,22.96,49,4.43,96,RU,10800
285,vardo,70.37,31.11,9.51,7.44,8.0,11.0,76,1.5,10,NO,7200
287,panzhihua,26.59,101.71,30.0,31.5,30.0,30.0,43,0.72,0,CN,28800
288,ananindeua,-1.37,-48.37,25.0,28.7,25.0,25.0,88,2.1,21,BR,-10800
